date	title	link
April 24, 2022	The President supported the idea to start every school week in schools with a flag-raising ceremony	https://www.1tv.ru/news/2022-04-24/427253-prezident_podderzhal_ideyu_nachinat_kazhduyu_uchebnuyu_nedelyu_v_shkolah_s_tseremonii_podnyatiya_flaga
April 24, 2022	US Treasury Secretary commented on Europe's plans to ban Russian energy imports	https://www.1tv.ru/news/2022-04-24/427252-ministr_finansov_ssha_prokommentirovala_plany_evropy_zapretit_import_rossiyskih_energonositeley
April 24, 2022	The government is taking measures that will reduce prices and expand the range	https://www.1tv.ru/news/2022-04-24/427251-pravitelstvo_prinimaet_mery_kotorye_pozvolyat_snizit_tseny_i_rasshirit_assortiment
April 24, 2022	In France, about two hours ago, the second round of presidential elections ended.	https://www.1tv.ru/news/2022-04-24/427250-vo_frantsii_okolo_dvuh_chasov_nazad_zavershilsya_vtoroy_tur_vyborov_prezidenta
April 24, 2022	Twice in the past ten days, Joe Biden has tried to say hello to the void.	https://www.1tv.ru/news/2022-04-24/427249-uzhe_dvazhdy_za_poslednie_desyat_dney_dzho_bayden_popytalsya_pozdorovatsya_s_pustotoy
April 24, 2022	The United States is again trying to turn China into an anti-Russian camp	https://www.1tv.ru/news/2022-04-24/427248-soedinennye_shtaty_snova_pytayutsya_obratit_kitay_v_antirossiyskiy_lager
April 24, 2022	Two surrendered Britons called on Boris Johnson to take part in their fate	https://www.1tv.ru/news/2022-04-24/427247-dvoe_sdavshihsya_v_plen_britantsev_prizvali_borisa_dzhonsona_prinyat_uchastie_v_ih_sudbe
April 24, 2022	In Ukraine, Poland, Latvia, they are fighting with monuments to fallen heroes who cannot answer	https://www.1tv.ru/news/2022-04-24/427246-na_ukraine_v_polshe_latvii_voyuyut_s_pamyatnikami_pavshim_geroyam_kotorye_ne_mogut_otvetit
April 24, 2022	Ukrainian grandmother with the banner of Victory has become a symbol of fortitude against state amnesia	https://www.1tv.ru/news/2022-04-24/427245-ukrainskaya_babushka_so_znamenem_pobedy_stala_simvolom_kreposti_duha_protiv_gosamnezii
April 24, 2022	Everything you need to know about those who were raised in the land of lies - see the next episode	https://www.1tv.ru/news/2022-04-24/427244-vse_chto_nuzhno_znat_o_teh_kogo_rastili_v_strane_lzhi_smotrite_v_sleduyuschem_epizode
April 24, 2022	Lies and distortion of facts have become the basis of the information agenda of Kyiv	https://www.1tv.ru/news/2022-04-24/427243-vranie_i_peredergivanie_faktov_stali_osnovoy_informatsionnoy_povestki_kieva
April 24, 2022	Volodymyr Zelensky's administration keeps a professional manipulator as advisers	https://www.1tv.ru/news/2022-04-24/427242-administratsiya_vladimira_zelenskogo_derzhit_v_sovetnikah_professionalnogo_manipulyatora
April 24, 2022	The Sarmat missile has become a means of deterring the West, which pumps weapons to other countries	https://www.1tv.ru/news/2022-04-24/427241-raketa_sarmat_stala_sredstvom_sderzhivaniya_zapada_kotoryy_nakachivaet_oruzhiem_drugie_strany
April 24, 2022	Western “friends of Kyiv” compete to see who will send more military cargo to Ukraine	https://www.1tv.ru/news/2022-04-24/427240-zapadnye_druzya_kieva_sorevnuyutsya_kto_bolshe_otpravit_na_ukrainu_voennyh_gruzov
April 24, 2022	The latest information on the course of the special operation to protect Donbass from the Ministry of Defense of the Russian Federation	https://www.1tv.ru/news/2022-04-24/427238-poslednyaya_informatsiya_o_hode_spetsoperatsii_po_zaschite_donbassa_ot_minoborony_rf
April 24, 2022	A large terminal with foreign weapons, including from the United States, was destroyed in the Odessa region	https://www.1tv.ru/news/2022-04-24/427239-v_rayone_odessy_unichtozhen_krupnyy_terminal_s_inostrannym_oruzhiem_v_tom_chisle_iz_ssha
April 24, 2022	News release at 18:00 from 04/24/2022	https://www.1tv.ru/news/2022-04-24/427220-vypusk_novostey_v_18_00_ot_24_04_2022
April 24, 2022	Andrey Rublev defeated Novak Djokovic in the final of the prestigious tennis tournament	https://www.1tv.ru/news/2022-04-24/427232-andrey_rublev_v_finale_prestizhnogo_tennisnogo_turnira_obygral_novaka_dzhokovicha
April 24, 2022	France chooses president - today the second round of voting	https://www.1tv.ru/news/2022-04-24/427231-frantsiya_vybiraet_prezidenta_segodnya_vtoroy_tur_golosovaniya
April 24, 2022	In Miass, a woman was burned as a result of an amateur fire show	https://www.1tv.ru/news/2022-04-24/427230-v_miasse_zhenschina_poluchila_ozhogi_v_rezultate_samodeyatelnogo_faer_shou
April 24, 2022	Nearly a million refugees have already arrived in Russia from Donbass and Ukraine	https://www.1tv.ru/news/2022-04-24/427229-v_rossiyu_iz_donbassa_i_s_ukrainy_priehali_uzhe_bez_malogo_million_bezhentsev
