	date	title	link
0	2022-04-15	Ночью в подмосковном аэропорту Чкаловский встречали российских детей, вывезенных из Сирии	file:///news/2022-04-15/426513-nochyu_v_podmoskovnom_aeroportu_chkalovskiy_vstrechali_rossiyskih_detey_vyvezennyh_iz_sirii
1	2022-04-15	Из Сирии на родину возвращены десять российских детей	file:///news/2022-04-15/426505-iz_sirii_na_rodinu_vozvrascheny_desyat_rossiyskih_detey
2	2022-04-15	Выпуск новостей в 12:00 от 10.04.2022	file:///news/2022-04-10/426098-vypusk_novostey_v_12_00_ot_10_04_2022
3	2022-04-10	Эвакуированные жители Донбасса начинают жизнь с нуля в российских городах	file:///news/2022-04-10/426103-evakuirovannye_zhiteli_donbassa_nachinayut_zhizn_s_nulya_v_rossiyskih_gorodah
4	2022-04-10	Задержанные на финской границе шедевры российских музеев вернулись на родину	file:///news/2022-04-09/426083-zaderzhannye_na_finskoy_granitse_shedevry_rossiyskih_muzeev_vernulis_na_rodinu
5	2022-04-09	Растет список западных стран, которые намерены выслать российских дипломатов	file:///news/2022-04-05/425656-rastet_spisok_zapadnyh_stran_kotorye_namereny_vyslat_rossiyskih_diplomatov
6	2022-04-05	Италия высылает 30 российских дипломатов	file:///news/2022-04-05/425650-italiya_vysylaet_30_rossiyskih_diplomatov
7	2022-04-05	Героическими поступками российских военнослужащих восхищаются и на Родине, и жители Украины	file:///news/2022-04-03/425491-geroicheskimi_postupkami_rossiyskih_voennosluzhaschih_voshischayutsya_i_na_rodine_i_zhiteli_ukrainy
8	2022-04-03	После сложных переговоров с Украины на Родину смогли вернуться наши дальнобойщики и моряки	file:///news/2022-03-25/424694-posle_slozhnyh_peregovorov_s_ukrainy_na_rodinu_smogli_vernutsya_nashi_dalnoboyschiki_i_moryaki
9	2022-03-25	Состоялся телефонный разговор Владимира Путина с премьер-министром Индии Нарендрой Моди	file:///news/2022-03-03/422468-sostoyalsya_telefonnyy_razgovor_vladimira_putina_s_premier_ministrom_indii_narendroy_modi
10	2022-03-03	Выпуск новостей в 16:56 от 28.02.2022	file:///news/2022-02-28/422130-vypusk_novostey_v_16_56_ot_28_02_2022
11	2022-02-28	Пострадавшие от дискриминационных действий в Европе российские студенты смогут учиться на родине	file:///news/2022-02-28/422138-postradavshie_ot_diskriminatsionnyh_deystviy_v_evrope_rossiyskie_studenty_smogut_uchitsya_na_rodine
12	2022-02-28	Силовики с острова Змеиный рассказали, почему решили сдаться	file:///news/2022-02-27/422039-siloviki_s_ostrova_zmeinyy_rasskazali_pochemu_reshili_sdatsya
13	2022-02-27	Истории актеров, воплотивших образы героев на экране	file:///news/2022-02-23/421574-istorii_akterov_voplotivshih_obrazy_geroev_na_ekrane
14	2022-02-23	На фоне раскручивания темы мифического вторжения России Багамы призвали своих граждан покинуть Украину	file:///news/2022-02-13/421018-na_fone_raskruchivaniya_temy_mificheskogo_vtorzheniya_rossii_bagamy_prizvali_svoih_grazhdan_pokinut_ukrainu
15	2022-02-13	Власти Багамских островов призвали своих граждан срочно покинуть Украину	file:///news/2022-02-13/421012-vlasti_bagamskih_ostrovov_prizvali_svoih_grazhdan_srochno_pokinut_ukrainu
16	2022-02-13	Мария Захарова поблагодарила всех причастных к освобождению россиян на Шри-Ланке	file:///news/2022-02-02/420472-mariya_zaharova_poblagodarila_vseh_prichastnyh_k_osvobozhdeniyu_rossiyan_na_shri_lanke
17	2022-02-02	Украина стянула к границам ЛНР и ДНР артиллерию и танки	file:///news/2022-01-24/419962-ukraina_styanula_k_granitsam_lnr_i_dnr_artilleriyu_i_tanki
18	2022-01-24	Сотрудники американского посольства в Киеве покидают Украину	file:///news/2022-01-24/419941-sotrudniki_amerikanskogo_posolstva_v_kieve_pokidayut_ukrainu
19	2022-01-24	Ивановские десантники вернулись на родину по окончании миротворческой миссии в Казахстане	file:///news/2022-01-13/419389-ivanovskie_desantniki_vernulis_na_rodinu_po_okonchanii_mirotvorcheskoy_missii_v_kazahstane
20	2022-01-13	Омбудсмен Татьяна Москалькова встретилась с семьей бизнесмена Олега Никитина	file:///news/2022-01-11/419254-ombudsmen_tatyana_moskalkova_vstretilas_s_semiey_biznesmena_olega_nikitina
21	2022-01-11	В Казахстане объявлен общенациональный траур по погибшим в результате беспорядков	file:///news/2022-01-10/419175-v_kazahstane_ob_yavlen_obschenatsionalnyy_traur_po_pogibshim_v_rezultate_besporyadkov
22	2022-01-10	Пекин ужесточает антиковидные меры перед праздниками и Олимпиадой	file:///news/2021-12-29/418824-pekin_uzhestochaet_antikovidnye_mery_pered_prazdnikami_i_olimpiadoy
23	2021-12-29	Еще девять российских детей вернулись на родину из Сирии	file:///news/2021-12-17/418201-esche_devyat_rossiyskih_detey_vernulis_na_rodinu_iz_sirii
24	2021-12-17	Детский омбудсмен сообщила, что работа по вывозу российских детей из Сирии будет продолжена	file:///news/2021-12-17/418190-detskiy_ombudsmen_soobschila_chto_rabota_po_vyvozu_rossiyskih_detey_iz_sirii_budet_prodolzhena
25	2021-12-17	Выпуск новостей в 07:00 от 17.12.2021	file:///news/2021-12-17/418165-vypusk_novostey_v_07_00_ot_17_12_2021
26	2021-12-17	Из Сирии вернулись на родину еще девять российских детей	file:///news/2021-12-17/418169-iz_sirii_vernulis_na_rodinu_esche_devyat_rossiyskih_detey
27	2021-12-17	Новой Мисс Вселенной стала 21-летняя индийская фотомодель Харназ Сандху	file:///news/2021-12-13/417960-novoy_miss_vselennoy_stala_21_letnyaya_indiyskaya_fotomodel_harnaz_sandhu
28	2021-12-13	В Москве объявили победителей национальной премии «Патриот»	file:///news/2021-12-10/417787-v_moskve_ob_yavili_pobediteley_natsionalnoy_premii_patriot
29	2021-12-10	Выпуск новостей в 09:00 от 03.12.2021	file:///news/2021-12-03/417396-vypusk_novostey_v_09_00_ot_03_12_2021
30	2021-12-03	В России вспоминают тех, кто пропал без вести, защищая Родину	file:///news/2021-12-03/417400-v_rossii_vspominayut_teh_kto_propal_bez_vesti_zaschischaya_rodinu
31	2021-12-03	125 лет назад родился маршал Победы Георгий Жуков	file:///news/2021-12-01/417307-125_let_nazad_rodilsya_marshal_pobedy_georgiy_zhukov
32	2021-12-01	Премьера года на Первом канале — многосерийный фильм «Вертинский»	file:///news/2021-11-29/417149-premiera_goda_na_pervom_kanale_mnogoseriynyy_film_vertinskiy
33	2021-11-29	На Первом начинается показ многосерийного фильма «Вертинский»	file:///news/2021-11-29/417145-na_pervom_nachinaetsya_pokaz_mnogoseriynogo_filma_vertinskiy
34	2021-11-29	Из Минска в иракский Эрбиль ночью вылетел второй самолет с ближневосточными беженцами на борту	file:///news/2021-11-26/417007-iz_minska_v_irakskiy_erbil_nochyu_vyletel_vtoroy_samolet_s_blizhnevostochnymi_bezhentsami_na_bortu
35	2021-11-26	Домой возвращается первая группа беженцев из Ирака, которая застряла на границе Белоруссии и Польши	file:///news/2021-11-18/416556-domoy_vozvraschaetsya_pervaya_gruppa_bezhentsev_iz_iraka_kotoraya_zastryala_na_granitse_belorussii_i_polshi
36	2021-11-18	Александр Лукашенко назвал глупостью упреки, что Минск якобы поддерживает нелегальную миграцию	file:///news/2021-11-15/416377-aleksandr_lukashenko_nazval_glupostyu_upreki_chto_minsk_yakoby_podderzhivaet_nelegalnuyu_migratsiyu
37	2021-11-15	История семьи из Казани: отпуск за границей во время пандемии обернулся кошмаром	file:///news/2021-11-07/415944-istoriya_semi_iz_kazani_otpusk_za_granitsey_vo_vremya_pandemii_obernulsya_koshmarom
38	2021-11-07	Выпуск программы «Время» в 21:00 от 04.11.2021	file:///news/2021-11-04/415855-vypusk_programmy_vremya_v_21_00_ot_04_11_2021
39	2021-11-04	Во Внуково мужчина забрался на металлические конструкции, желая привлечь внимание к своей проблеме	file:///news/2021-09-30/413936-vo_vnukovo_muzhchina_zabralsya_na_metallicheskie_konstruktsii_zhelaya_privlech_vnimanie_k_svoey_probleme
40	2021-09-30	Героической обороне Москвы посвящен новый раздел на сайте Минобороны — «Заслонили собою Родину»	file:///news/2021-09-30/413913-geroicheskoy_oborone_moskvy_posvyaschen_novyy_razdel_na_sayte_minoborony_zaslonili_soboyu_rodinu
41	2021-09-30	К 80-летию битвы за Москву Минобороны запускает мультимедийный раздел, посвященный подвигу подольских курсантов	file:///news/2021-09-30/413903-k_80_letiyu_bitvy_za_moskvu_minoborony_zapuskaet_multimediynyy_razdel_posvyaschennyy_podvigu_podolskih_kursantov
42	2021-09-30	80 лет назад в ходе Великой Отечественной войны началась битва за Москву	file:///news/2021-09-30/413891-80_let_nazad_v_hode_velikoy_otechestvennoy_voyny_nachalas_bitva_za_moskvu
43	2021-09-30	На родину вернулись российские победители чемпионата профмастерства EuroSkills	file:///news/2021-09-27/413739-na_rodinu_vernulis_rossiyskie_pobediteli_chempionata_profmasterstva_euroskills
44	2021-09-27	Социал-демократы обошли блок Меркель на выборах в Германии	file:///news/2021-09-27/413719-sotsial_demokraty_oboshli_blok_merkel_na_vyborah_v_germanii
45	2021-09-27	Накаляется обстановка из-за потока беженцев на границе американского штата Техас и Мексики	file:///news/2021-09-21/413393-nakalyaetsya_obstanovka_iz_za_potoka_bezhentsev_na_granitse_amerikanskogo_shtata_tehas_i_meksiki
46	2021-09-21	Ушел из жизни Герой России, бывший полпред президента в Южном Федеральном округе генерал Виктор Казанцев	file:///news/2021-09-14/413030-ushel_iz_zhizni_geroy_rossii_byvshiy_polpred_prezidenta_v_yuzhnom_federalnom_okruge_general_viktor_kazantsev
47	2021-09-14	В Москве состоялась премьера фильма «Вертинский» о знаменитом русском шансонье	file:///news/2021-09-09/412816-v_moskve_sostoyalas_premiera_filma_vertinskiy_o_znamenitom_russkom_shansonie
48	2021-09-09	В Россию из Токио возвращаются герои Паралимпиады	file:///news/2021-09-06/412564-v_rossiyu_iz_tokio_vozvraschayutsya_geroi_paralimpiady
49	2021-09-06	Российские спортсмены, чемпионы и призеры Олимпиады в Токио, возвращаются на родину	file:///news/2021-08-09/411091-rossiyskie_sportsmeny_chempiony_i_prizery_olimpiady_v_tokio_vozvraschayutsya_na_rodinu
50	2021-08-09	Российские чемпионы возвращаются из Токио на родину	file:///news/2021-08-09/411081-rossiyskie_chempiony_vozvraschayutsya_iz_tokio_na_rodinu
