	date	title	link
0	2022-04-24	Западные «друзья Киева» соревнуются, кто больше отправит на Украину военных грузов	file:///news/2022-04-24/427240-zapadnye_druzya_kieva_sorevnuyutsya_kto_bolshe_otpravit_na_ukrainu_voennyh_gruzov
1	2022-04-24	В Россию из Донбасса и с Украины приехали уже без малого миллион беженцев	file:///news/2022-04-24/427229-v_rossiyu_iz_donbassa_i_s_ukrainy_priehali_uzhe_bez_malogo_million_bezhentsev
2	2022-04-24	Российское Минобороны публикует новый список потерь Национальной гвардии Украины	file:///news/2022-04-24/427227-rossiyskoe_minoborony_publikuet_novyy_spisok_poter_natsionalnoy_gvardii_ukrainy
3	2022-04-24	Минобороны РФ опубликовало новый список потерь Национальной гвардии Украины	file:///news/2022-04-24/427215-minoborony_rf_opublikovalo_novyy_spisok_poter_natsionalnoy_gvardii_ukrainy
4	2022-04-24	Российские военные за ночь выполнили более 420 огневых задач на Украине	file:///news/2022-04-24/427216-rossiyskie_voennye_za_noch_vypolnili_bolee_420_ognevyh_zadach_na_ukraine
5	2022-04-24	Выпуск программы «Время» в 21:00 от 23.04.2022	file:///news/2022-04-23/427175-vypusk_programmy_vremya_v_21_00_ot_23_04_2022
6	2022-04-23	Российские военные геройски выполняют боевые задачи в ходе спецоперации на Украине	file:///news/2022-04-23/427184-rossiyskie_voennye_geroyski_vypolnyayut_boevye_zadachi_v_hode_spetsoperatsii_na_ukraine
7	2022-04-23	Жертвами новых провокаций на Украине могут стать десятки тысяч мирных жителей	file:///news/2022-04-23/427183-zhertvami_novyh_provokatsiy_na_ukraine_mogut_stat_desyatki_tysyach_mirnyh_zhiteley
8	2022-04-23	Обнаружены новые доказательства того, что наблюдатели ОБСЕ работали на украинскую разведку	file:///news/2022-04-23/427182-obnaruzheny_novye_dokazatelstva_togo_chto_nablyudateli_obse_rabotali_na_ukrainskuyu_razvedku
9	2022-04-23	Выпуск новостей в 14:15 от 23.04.2022	file:///news/2022-04-23/427151-vypusk_novostey_v_14_15_ot_23_04_2022
10	2022-04-23	Оперативно-тактической и армейской авиацией ВКС РФ в течение ночи поражены 66 военных объектов Украины	file:///news/2022-04-23/427153-operativno_takticheskoy_i_armeyskoy_aviatsiey_vks_rf_v_techenie_nochi_porazheny_66_voennyh_ob_ektov_ukrainy
11	2022-04-23	США готовят инсценировки с целью обвинить Россию в применении оружия массового поражения на Украине	file:///news/2022-04-23/427152-ssha_gotovyat_instsenirovki_s_tselyu_obvinit_rossiyu_v_primenenii_oruzhiya_massovogo_porazheniya_na_ukraine
12	2022-04-23	Гражданину Таджикистана неизвестные предлагали сняться в постановочном видео о Буче	file:///news/2022-04-22/427125-grazhdaninu_tadzhikistana_neizvestnye_predlagali_snyatsya_v_postanovochnom_video_o_buche
13	2022-04-22	В Москве состоялись переговоры глав МИД России и Казахстана	file:///news/2022-04-22/427093-v_moskve_sostoyalis_peregovory_glav_mid_rossii_i_kazahstana
14	2022-04-22	Состоялся телефонный разговор Владимира Путина с председателем Европейского совета Шарлем Мишелем	file:///news/2022-04-22/427112-sostoyalsya_telefonnyy_razgovor_vladimira_putina_s_predsedatelem_evropeyskogo_soveta_sharlem_mishelem
15	2022-04-22	Ситуацию на Украине Владимир Путин по телефону обсудил с председателем Европейского совета Шарлем Мишелем	file:///news/2022-04-22/427100-situatsiyu_na_ukraine_vladimir_putin_po_telefonu_obsudil_s_predsedatelem_evropeyskogo_soveta_sharlem_mishelem
16	2022-04-22	Из республик Донбасса и с Украины в Россию прибыли уже 935 тысяч беженцев	file:///news/2022-04-22/427078-iz_respublik_donbassa_i_s_ukrainy_v_rossiyu_pribyli_uzhe_935_tysyach_bezhentsev
17	2022-04-22	Выпуск новостей в 14:00 от 22.04.2022	file:///news/2022-04-22/427073-vypusk_novostey_v_14_00_ot_22_04_2022
18	2022-04-22	Пропавший на Украине чилийский журналист вышел на связь	file:///news/2022-04-22/427077-propavshiy_na_ukraine_chiliyskiy_zhurnalist_vyshel_na_svyaz
19	2022-04-22	Выпуск новостей в 12:00 от 22.04.2022	file:///news/2022-04-22/427055-vypusk_novostey_v_12_00_ot_22_04_2022
20	2022-04-22	ФСБ предотвратила крупный теракт против российских военных и гуманитарного конвоя на Украине	file:///news/2022-04-22/427059-fsb_predotvratila_krupnyy_terakt_protiv_rossiyskih_voennyh_i_gumanitarnogo_konvoya_na_ukraine
21	2022-04-22	В Минобороны РФ рассказали о подвигах, совершенных российскими военными в ходе спецоперации на Украине	file:///news/2022-04-22/427057-v_minoborony_rf_rasskazali_o_podvigah_sovershennyh_rossiyskimi_voennymi_v_hode_spetsoperatsii_na_ukraine
22	2022-04-22	Выпуск новостей в 09:00 от 22.04.2022	file:///news/2022-04-22/427045-vypusk_novostey_v_09_00_ot_22_04_2022
23	2022-04-22	Минобороны РФ сообщает новые имена героев, которые освобождают от радикалов все новые территории Украины	file:///news/2022-04-22/427049-minoborony_rf_soobschaet_novye_imena_geroev_kotorye_osvobozhdayut_ot_radikalov_vse_novye_territorii_ukrainy
24	2022-04-22	Выпуск новостей в 07:00 от 22.04.2022	file:///news/2022-04-22/427038-vypusk_novostey_v_07_00_ot_22_04_2022
25	2022-04-22	США не собираются воевать до последнего украинца, но при этом продолжат накачивать Киев оружием	file:///news/2022-04-22/427043-ssha_ne_sobirayutsya_voevat_do_poslednego_ukraintsa_no_pri_etom_prodolzhat_nakachivat_kiev_oruzhiem
26	2022-04-22	Российские военнослужащие проявляют мужество и героизм в ходе спецоперации на Украине	file:///news/2022-04-22/427040-rossiyskie_voennosluzhaschie_proyavlyayut_muzhestvo_i_geroizm_v_hode_spetsoperatsii_na_ukraine
27	2022-04-22	На Украине командование ВСУ подготовило провокацию в отношении российских военных	file:///news/2022-04-22/427039-na_ukraine_komandovanie_vsu_podgotovilo_provokatsiyu_v_otnoshenii_rossiyskih_voennyh
28	2022-04-22	В Харькове исчез иностранный блогер Гонсало Лира, который писал правду об Украине	file:///news/2022-04-21/427032-v_harkove_ischez_inostrannyy_bloger_gonsalo_lira_kotoryy_pisal_pravdu_ob_ukraine
29	2022-04-21	Украина нанесла новый удар тактической ракетой «Точка-У» по мирным жителям Запорожья	file:///news/2022-04-21/426975-ukraina_nanesla_novyy_udar_takticheskoy_raketoy_tochka_u_po_mirnym_zhitelyam_zaporozhya
30	2022-04-21	Крупный теракт на железной дороге предотвращен в Крыму	file:///news/2022-04-21/426972-krupnyy_terakt_na_zheleznoy_doroge_predotvraschen_v_krymu
